pdb_id,chain_auth,chain_asym,label,description
6CQQ,C,C,PEPTIDE,Peptide from Capsid protein p24
6CQQ,G,G,MHC,HLA-DRB1 protein
6CQQ,B,B,MHC,HLA-DRB1 protein
6CQQ,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQQ,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQR,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQR,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6CQR,H,H,PEPTIDE,Peptide from Capsid protein p24
6CQR,C,C,PEPTIDE,Peptide from Capsid protein p24
6CQR,J,J,TCR_BETA,F24 beta chain
6CQR,E,E,TCR_BETA,F24 beta chain
6CQR,I,I,TCR_ALPHA,F24 alpha chain
6CQR,D,D,TCR_ALPHA,F24 alpha chain
6CQR,G,G,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
6CQR,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
6DFX,J,H,TCR_BETA,T1D3 beta chain
6DFX,H,F,TCR_BETA,T1D3 beta chain
6DFX,I,G,TCR_ALPHA,T1D3 alpha chain
6DFX,G,E,TCR_ALPHA,T1D3 alpha chain
6DFX,E,D,MHC,MHC class II antigen
6DFX,B,B,MHC,MHC class II antigen
6DFX,D,C,MHC,MHC class II HLA-DQ-alpha chain
6DFX,A,A,MHC,MHC class II HLA-DQ-alpha chain
6PX6,E,E,TCR_BETA,"T-cell receptor, T1005.2.56, beta chain"
6PX6,D,D,TCR_ALPHA,"T-cell receptor, T1005.2.56, alpha chain,Human nkt tcr alpha chain"
6PX6,C,C,PEPTIDE,DQ2.2-glut-L1
6PX6,B,B,MHC,HLA class II histocompatibility antigen DQ beta chain
6PX6,A,A,MHC,HLA class II histocompatibility antigen DQ alpha chain
6PY2,A,A,MHC,HLA class II histocompatibility antigen DQ alpha chain
6PY2,E,E,TCR_BETA,"T-cell receptor, T594, beta chain,T-cell receptor, T594, beta chain"
6PY2,D,D,TCR_ALPHA,"T-cell receptor, T594, alpha chain,T-cell receptor, T594, alpha chain"
6PY2,C,C,PEPTIDE,DQ2.2-glut-L1
6PY2,B,B,MHC,HLA class II histocompatibility antigen DQ beta chain
6R0E,EEE,E,TCR_BETA,F11-TCR Beta Chain
6R0E,DDD,D,TCR_ALPHA,F11-TCR Alpha Chain
6R0E,CCC,C,PEPTIDE,Hemagglutinin
6R0E,BBB,B,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
6R0E,AAA,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6U3N,C,E,PEPTIDE,Peptide
6U3N,B,D,MHC,MHC class II HLA-DQ-beta-1
6U3N,A,C,MHC,MHC class II HLA-DQ-alpha chain
6U3N,E,B,TCR_BETA,"T-CELL RECEPTOR, LS2.8/3.15 beta"
6U3N,D,A,TCR_ALPHA,"T-CELL RECEPTOR, LS2.8/3.15 alpha"
6U3O,H,B,TCR_BETA,"T-CELL RECEPTOR, JR5.1 beta"
6U3O,B,D,TCR_BETA,"T-CELL RECEPTOR, JR5.1 beta"
6U3O,I,I,PEPTIDE,Peptide
6U3O,J,J,PEPTIDE,Peptide
6U3O,D,F,MHC,MHC class II HLA-DQ-beta-1
6U3O,F,H,MHC,MHC class II HLA-DQ-beta-1
6U3O,E,G,MHC,MHC class II HLA-DQ-alpha chain
6U3O,C,E,MHC,MHC class II HLA-DQ-alpha chain
6U3O,G,A,TCR_ALPHA,"T-CELL RECEPTOR, JR5.1 alpha"
6U3O,A,C,TCR_ALPHA,"T-CELL RECEPTOR, JR5.1 alpha"
6V0Y,E,E,TCR_BETA,M141 TCR beta chain
6V0Y,D,D,TCR_ALPHA,M141 TCR alpha chain
6V0Y,C,C,PEPTIDE,"Fibrinogen beta 72,74cit69-81"
6V0Y,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
6V0Y,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6V13,C,C,PEPTIDE,Fibrinogen beta 74cit69-81
6V13,D,D,TCR_ALPHA,G08 TCR alpha chain
6V13,E,E,TCR_BETA,G08 TCR beta chain
6V13,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
6V13,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6V15,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
6V15,E,E,TCR_BETA,G08 TCR beta chain
6V15,D,D,TCR_ALPHA,G08 TCR alpha chain
6V15,C,C,PEPTIDE,"Fibrinogen beta 72,74cit69-81"
6V15,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6V18,E,E,TCR_BETA,M141 TCR beta chain
6V18,D,D,TCR_ALPHA,M141 TCR alpha chain
6V18,C,C,PEPTIDE,Fibrinogen beta
6V18,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
6V18,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6V19,E,E,TCR_BETA,M134 TCR beta chain
6V19,D,D,TCR_ALPHA,M134 TCR alpha chain
6V19,C,C,PEPTIDE,"Fibrinogen beta 72,74cit69-81"
6V19,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
6V19,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6V1A,E,E,TCR_BETA,M134 TCR beta chain
6V1A,D,D,TCR_ALPHA,M134 TCR alpha chain
6V1A,C,C,PEPTIDE,Fibrinogen beta 74cit69-81
6V1A,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
6V1A,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
6XC9,J,H,TCR_BETA,"T-CELL-RECEPTOR, A3.10-beta chain"
6XC9,E,D,TCR_BETA,"T-CELL-RECEPTOR, A3.10-beta chain"
6XC9,D,C,TCR_ALPHA,"T-CELL-RECEPTOR, A3.10-alpha chain"
6XC9,I,G,TCR_ALPHA,"T-CELL-RECEPTOR, A3.10-alpha chain"
6XC9,C,B,MHC,"Hybrid Insulin Peptide, MHC class II HLA-DQ-beta chain fusion"
6XC9,H,F,MHC,"Hybrid Insulin Peptide, MHC class II HLA-DQ-beta chain fusion"
6XC9,A,A,MHC,MHC class II HLA-DQ-alpha chain
6XC9,F,E,MHC,MHC class II HLA-DQ-alpha chain
6XCO,E,D,TCR_BETA,"T-CELL-RECEPTOR, A1.9-beta chain"
6XCO,D,C,TCR_ALPHA,"T-CELL-RECEPTOR, A1.9-alpha chain"
6XCO,B,B,MHC,"Hybrid Insulin Peptide, MHC class II HLA-DQ-beta-1 fusion"
6XCO,A,A,MHC,MHC class II HLA-DQ-alpha chain
6XCP,E,D,TCR_BETA,"T-CELL-RECEPTOR, A2.13-beta chain"
6XCP,D,C,TCR_ALPHA,"T-CELL-RECEPTOR, A2.13-alpha chain"
6XCP,C,B,MHC,"Hybrid insulin peptide, MHC class II HLA-DQ8-beta chain fusion"
6XCP,A,A,MHC,MHC class II HLA-DQ-alpha chain
7SG0,E,E,TCR_BETA,"T-cell receptor, w316, beta chain"
7SG0,D,D,TCR_ALPHA,"T-cell receptor, w316, alpha chain"
7SG0,C,C,PEPTIDE,DQ2-glia-omega1 peptide
7SG0,B,B,MHC,MHC class II HLA-DQ-beta-1
7SG0,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
7SG1,H,H,PEPTIDE,DQ2-glia-alpha1a peptide
7SG1,C,G,PEPTIDE,DQ2-glia-alpha1a peptide
7SG1,J,J,TCR_BETA,"T-cell receptor, xpa5, beta chain"
7SG1,E,F,TCR_BETA,"T-cell receptor, xpa5, beta chain"
7SG1,I,I,TCR_ALPHA,"T-cell receptor, xpa5, alpha chain"
7SG1,D,E,TCR_ALPHA,"T-cell receptor, xpa5, alpha chain"
7SG1,G,D,MHC,MHC class II HLA-DQ-beta-1
7SG1,B,B,MHC,MHC class II HLA-DQ-beta-1
7SG1,F,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
7SG1,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
7SG2,H,H,PEPTIDE,DQ2-glia-omega1 peptide
7SG2,C,G,PEPTIDE,DQ2-glia-omega1 peptide
7SG2,J,J,TCR_BETA,"T-cell receptor, xpa5, beta chain"
7SG2,E,F,TCR_BETA,"T-cell receptor, xpa5, beta chain"
7SG2,I,I,TCR_ALPHA,"T-cell receptor, xpa5, alpha chain"
7SG2,D,E,TCR_ALPHA,"T-cell receptor, xpa5, alpha chain"
7SG2,G,D,MHC,MHC class II HLA-DQ-beta-1
7SG2,B,B,MHC,MHC class II HLA-DQ-beta-1
7SG2,F,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
7SG2,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
7T2B,P,J,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2B,K,G,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2B,F,D,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2B,A,A,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2B,T,T,TCR_BETA,"T cell receptor, 5F, beta chain"
7T2B,O,R,TCR_BETA,"T cell receptor, 5F, beta chain"
7T2B,J,P,TCR_BETA,"T cell receptor, 5F, beta chain"
7T2B,E,N,TCR_BETA,"T cell receptor, 5F, beta chain"
7T2B,S,S,TCR_ALPHA,"T cell receptor, 5F, alpha chain"
7T2B,N,Q,TCR_ALPHA,"T cell receptor, 5F, alpha chain"
7T2B,I,O,TCR_ALPHA,"T cell receptor, 5F, alpha chain"
7T2B,D,M,TCR_ALPHA,"T cell receptor, 5F, alpha chain"
7T2B,R,L,PEPTIDE,Pneumolysin-derived peptide
7T2B,M,I,PEPTIDE,Pneumolysin-derived peptide
7T2B,H,F,PEPTIDE,Pneumolysin-derived peptide
7T2B,C,C,PEPTIDE,Pneumolysin-derived peptide
7T2B,Q,K,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2B,L,H,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2B,G,E,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2B,B,B,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2C,A,C,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2C,C,E,PEPTIDE,Pneumolysin-derived peptide
7T2C,B,D,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2C,E,B,TCR_BETA,"T cell receptor, B5, beta chain"
7T2C,D,A,TCR_ALPHA,"T cell receptor, B5, alpha chain"
7T2D,P,P,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2D,K,K,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2D,F,D,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2D,A,A,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
7T2D,Q,Q,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2D,L,L,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2D,G,E,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2D,B,B,MHC,"HLA class II histocompatibility antigen, DP beta 1 chain"
7T2D,R,R,PEPTIDE,Pneumolysin-derived peptide
7T2D,M,M,PEPTIDE,Pneumolysin-derived peptide
7T2D,H,F,PEPTIDE,Pneumolysin-derived peptide
7T2D,C,C,PEPTIDE,Pneumolysin-derived peptide
7T2D,S,S,TCR_ALPHA,"T cell receptor, B1, alpha chain"
7T2D,N,N,TCR_ALPHA,"T cell receptor, B1, alpha chain"
7T2D,I,I,TCR_ALPHA,"T cell receptor, B1, alpha chain"
7T2D,D,G,TCR_ALPHA,"T cell receptor, B1, alpha chain"
7T2D,T,T,TCR_BETA,"T cell receptor, B1, beta chain"
7T2D,O,O,TCR_BETA,"T cell receptor, B1, beta chain"
7T2D,J,J,TCR_BETA,"T cell receptor, B1, beta chain"
7T2D,E,H,TCR_BETA,"T cell receptor, B1, beta chain"
8PJG,E,E,TCR_BETA,T cell receptor beta constant 1
8PJG,D,D,TCR_ALPHA,T cell receptor alpha chain constant
8PJG,C,C,PEPTIDE,Hemagglutinin HA2 chain
8PJG,B,B,MHC,"HLA class II histocompatibility antigen, DRB1 beta chain"
8PJG,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
8TRL,H,J,TCR_BETA,RA2.7 TCR beta chain
8TRL,J,E,TCR_BETA,RA2.7 TCR beta chain
8TRL,G,I,TCR_ALPHA,RA2.7 TCR alpha chain
8TRL,I,D,TCR_ALPHA,RA2.7 TCR alpha chain
8TRL,F,H,PEPTIDE,Alpha-enolase
8TRL,C,C,PEPTIDE,Alpha-enolase
8TRL,E,G,MHC,"HLA class II histocompatibility antigen, DRB1 beta chain"
8TRL,B,B,MHC,"HLA class II histocompatibility antigen, DRB1 beta chain"
8TRL,D,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
8TRL,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
8TRQ,E,E,TCR_BETA,A07 TCR beta chain
8TRQ,D,D,TCR_ALPHA,A07 TCR alpha chain
8TRQ,C,C,PEPTIDE,Vimentin
8TRQ,B,B,MHC,"HLA class II histocompatibility antigen, DRB1 beta chain"
8TRQ,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
8TRR,J,J,TCR_BETA,A03 TCR beta chain
8TRR,E,E,TCR_BETA,A03 TCR beta chain
8TRR,I,I,TCR_ALPHA,A03 TCR alpha chain
8TRR,D,D,TCR_ALPHA,A03 TCR alpha chain
8TRR,H,H,PEPTIDE,Vimentin
8TRR,C,C,PEPTIDE,Vimentin
8TRR,G,G,MHC,"HLA class II histocompatibility antigen, DRB1 beta chain"
8TRR,B,B,MHC,"HLA class II histocompatibility antigen, DRB1 beta chain"
8TRR,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
8TRR,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
8VCX,C,E,PEPTIDE,Proinsulin C-peptide (InsC8-22)
8VCX,B,D,MHC,MHC class II HLA-DQ-beta-1
8VCX,A,C,MHC,MHC class II HLA-DQ-alpha chain
8VCX,E,B,TCR_ALPHA,"T-CELL-RECEPTOR, A2.13-beta chain"
8VCX,D,A,TCR_ALPHA,"T-CELL-RECEPTOR, TCR A2.13 alpha"
8VCY,E,E,TCR_BETA,"T-CELL-RECEPTOR, TCR A2.13 beta"
8VCY,D,D,TCR_ALPHA,"T-CELL-RECEPTOR, TCR A2.13 alpha"
8VCY,C,C,PEPTIDE,Hybrid insulin peptide (HIP; InsC8-15-NPY68-74)
8VCY,B,B,MHC,MHC class II HLA-DQ-beta-1
8VCY,A,A,MHC,MHC class II HLA-DQ-alpha chain
8VD0,J,H,TCR_BETA,"T-CELL-RECEPTOR, TCR ET650-4 beta"
8VD0,E,F,TCR_BETA,"T-CELL-RECEPTOR, TCR ET650-4 beta"
8VD0,I,G,TCR_ALPHA,"T-CELL-RECEPTOR, TCR ET650-4 alpha"
8VD0,D,E,TCR_ALPHA,"T-CELL-RECEPTOR, TCR ET650-4 alpha"
8VD0,H,D,MHC,"Hybrid insulin peptide (HIP; InsC8-15-IAPP74-80),MHC class II HLA-DQ-beta-1 chimera"
8VD0,C,B,MHC,"Hybrid insulin peptide (HIP; InsC8-15-IAPP74-80),MHC class II HLA-DQ-beta-1 chimera"
8VD0,F,C,MHC,MHC class II HLA-DQ-alpha chain
8VD0,A,A,MHC,MHC class II HLA-DQ-alpha chain
8VD2,E,E,TCR_BETA,"T-CELL-RECEPTOR, TCR ET650-4 beta"
8VD2,D,D,TCR_ALPHA,"T-CELL-RECEPTOR, TCR ET650-4 alpha"
8VD2,C,C,PEPTIDE,Hybrid insulin peptide (HIP; InsC8-15-IAPP23-29 )
8VD2,B,B,MHC,MHC class II HLA-DQ-beta-1
8VD2,A,A,MHC,MHC class II HLA-DQ-alpha chain
9EJG,B,E,MHC,MHC class II HLA-DQ-beta-1
9EJG,E,D,TCR_BETA,G9 T cell receptor beta chain
9EJG,D,C,TCR_ALPHA,G9 T cell receptor alpha chain
9EJG,C,B,PEPTIDE,glia-omega 1 peptide
9EJG,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
9EJH,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
9EJH,B,B,MHC,MHC class II HLA-DQ-beta-1
9EJH,C,C,MHC,HLA class II histocompatibility antigen gamma chain
9EJH,D,D,TCR_ALPHA,G9 T cell receptor alpha chain
9EJH,E,E,TCR_BETA,G9 T cell receptor beta chain
9EJI,E,E,TCR_BETA,G9 T cell receptor beta chain
9EJI,D,D,TCR_ALPHA,G9 T cell receptor alpha chain
9EJI,C,C,PEPTIDE,glut-L1 peptide
9EJI,B,B,MHC,HLA class II histocompatibility antigen DQ beta chain
9EJI,A,A,MHC,HLA class II histocompatibility antigen DQ alpha chain
9NIG,L,O,PEPTIDE,Tenascin
9NIG,G,J,PEPTIDE,Tenascin
9NIG,P,E,PEPTIDE,Tenascin
9NIG,K,N,TCR_BETA,PB TCR beta chain
9NIG,F,I,TCR_BETA,PB TCR beta chain
9NIG,N,D,TCR_BETA,PB TCR beta chain
9NIG,J,M,TCR_ALPHA,PB TCR alpha chain
9NIG,E,H,TCR_ALPHA,PB TCR alpha chain
9NIG,M,C,TCR_ALPHA,PB TCR alpha chain
9NIG,I,L,MHC,HLA class II histocompatibility antigen DR beta chain
9NIG,D,G,MHC,HLA class II histocompatibility antigen DR beta chain
9NIG,B,B,MHC,HLA class II histocompatibility antigen DR beta chain
9NIG,H,K,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
9NIG,C,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
9NIG,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"